idQ;body;persoBody;field;textArea;answer;;;;;answer;;;;;answer;;;;;answer;;;;;answer;;;;
16;Tu veux détailler un peu pourquoi tu es si peu motivé ? T'es pas obligé de répondre, mais ça peux m'aider à comprendre ce qui ne va pas !;;whyMotivation;VRAI;17;;FAUX;;;;;;;;;;;;;;;;;;;;;;
17;Qu'est ce qui pourrait te faire un peu plus aimer travailler selon toi ?;;helpMotivation;FAUX;19;Du sens dans les cours;FAUX;Hum, je vois...;0;20;Des profs plus intéressants;FAUX;Hum, je vois...;1;21;Un entourage;FAUX;;2;18;Autre;FAUX;;3;;;;;
18;Dans ce cas là tu peux me détailler ce qui pourrait te faire aimer le travail ?;;helpMotivation;VRAI;21;;FAUX;Merci pour ta réponse !😘 Bon aller je change de sujet :;;;;;;;;;;;;;;;;;;;;;
19;Tu penses que t'es mal orienté ? T'aimerais changer de licence ?🙄;;changeOrientation;FAUX;21;Non;FAUX;Si besoin n'oublies pas qu'il y a de projet d'aide à la réorientation !;non;21;Oui;FAUX;T'inquiète pas, il y a des personnes qui sont là pour toi ! Tu peux par exemple contacter ton enseignant référent pour en discuter avec lui, tu peux lui demander de l'aide !🤝;oui;;;;;;;;;;;;;;;
20;Est-ce que tu viens de Paris, ou de région parisienne ?;;newCity;FAUX;23;Oui;FAUX;Super, t'es déjà habitué à la ville alors. Je suppose que tu connais quelques personnes qui font la même licence que toi 🤔;non;23;Non;FAUX;J'espère que tu vas rapidement t'habituer dans cette nouvelle ville. Je suppose que tu connais pas beaucoup de personnes qui font la même licence que toi, je me trompe ?🤔;oui;;;;;;;;;;;;;;;
21;Sur une échelle de 1 à 5, à quel point tu te sens intégré ici ?😊 (5 étant très bien intégré);;integration;FAUX;20;1;FAUX;Ne t'inquiète pas, il y a des personnes qui sont là pour toi ! Tu peux par exemple contacter ton enseignant référent pour en discuter avec lui, tu peux lui demander de l'aide !;1;20;2;FAUX;Ne t'inquiète pas, il y a des personnes qui sont là pour toi ! Tu peux par exemple contacter ton enseignant référent pour en discuter avec lui, tu peux lui demander de l'aide !🤝;2;20;3;FAUX;D'accord, donc pas tant que ça...Il y a des personnes qui sont là pour toi si tu as besoin. Tu peux par exemple contacter ton enseignant référent pour en discuter avec lui, tu peux lui demander de l'aide !🤝;3;20;4;FAUX;Ok super !;4;20;5;FAUX;Ok génial !;5
22;Tu peux me raconter un peu ton projet d'avenir dans ce cas là ?;;futur;VRAI;21;;FAUX;Merci pour ta réponse !😘 Bon aller je change de sujet :;;;;;;;;;;;;;;;;;;;;;
23;Tu peux me dire combien de personnes tu connais dans cette licence ?;;knownPerson;FAUX;24;Aucune;VRAI;Ok, j'espère que tu ne seras pas perdu ici. Mais tu verras tout le monde est sympa, tu vas vite t'y faire !;0;24;Moins de 2;VRAI;Ok, j'espère que tu ne seras pas perdu ici. Mais tu verras tout le monde est sympa, tu vas vite t'y faire !😘;1;25;Plus de 3;FAUX;Super, tu ne seras pas perdu ici !;2;25;Plus de 10;FAUX;Who, tu connais déjà plein de monde !;3;;;;;
24;;La dernière fois tu m'avais dit que tu connaissais/personnes, tu t'es fait de nouvelles connaissance ?🙄;newFriend;FAUX;25;Oui;FAUX;Super, je suis soulagé !;oui;24;Non;VRAI;D'accord...Si tu te sens mal entouré, tu peux demander de l'aide tu sais !🤝;non;;;;;;;;;;;;;;;
25;Tu trouves que tu as un assez bon entourage et des amis assez proches de toi ?;;friendsOk;FAUX;0;Oui;FAUX;Ok génial, ça va t'aider tout le long de ta licence, n'oublies pas !;oui;26;Non;FAUX;Mince...Avoir un bon entourage est hyper important en licence...;non;;;;;;;;;;;;;;;
26;La dernière fois tu trouvais que tu n'avais pas un entourage assez proche de toi, il y a eu des changements depuis la dernière fois ?;;;FAUX;25;Oui;FAUX;Ouf, ça me rassure;;26;Non;VRAI;D'accord...Si tu te sens mal entouré, tu peux demander de l'aide tu sais !🤝;;;;;;;;;;;;;;;;
27;J'enchaîne avec des questions sur ton style de vie ! Actuellement tu vis comment ?;;house;FAUX;28;Seul;FAUX;;0;31;En colocation;FAUX;Super !;1;29;Avec mes parents;FAUX;;2;;;;;;;;;;
28;C'est un choix ? Tu le vis bien ?🤔;;houseOk;FAUX;29;Oui;FAUX;Ok super alors, c'est un choix comme un autre !;oui;30;Non;FAUX;T'as eu des problèmes d'hébergement ?🤔;non;;;;;;;;;;;;;;;
29;T'habites à combien de temps de la fac ?;;timeToFac;FAUX;32;Moins de 10 minutes;FAUX;T'es juste à côté super !;0;32;Environ 30 minutes;FAUX;Ça va te faire gagner du temps c'est cool !;1;33;Environ 1h ou plus;FAUX;Oh, t'habites vachement loin de la fac !;2;;;;;;;;;;
30;Si oui, dis moi ce qui t'as posé soucis !😉;;whyNotHouseOk;VRAI;29;;FAUX;C'est noté;;;;;;;;;;;;;;;;;;;;;
31;T'es avec combien de colocataires ?;;nbRoomMates;FAUX;29;1;FAUX;;1;29;2;FAUX;;2;29;3;FAUX;;3;29;Au moins 4;FAUX;;Au moins 4;;;;;
32;En général tu passes combien de temps avec tes potes les soirs de semaine ?🥳;;timeWithFriend;FAUX;34;Aucun ou presque pas;FAUX;;0;34;Une demi heure environ;FAUX;;1;34;Plus d'une heure;FAUX;;2;;;;;;;;;;
33;Tu penses que tu vas supporter le rythme et ne pas trop être fatigué ?;;timetoFacToLong;FAUX;32;Non je suis habitué;FAUX;Ok je suis rassuré;0;32;J'appréhende un peu;FAUX;Hum...J'espère que tu vas t'y faire...;1;32;Non pas du tout;FAUX;Si tu n'arrives pas à suivre les cours à cause de ça, parles en ! Il y a des enseignants référent qui peuvent t'aider 🤝;2;;;;;;;;;;
34;Et tes activités extrascolaire, même question, combien de temps chaque soir ?🎓;;timeWithExtra;FAUX;35;Aucun ou presque pas;FAUX;;0;35;Une demi heure environ;FAUX;;1;35;Plus d'une heure;FAUX;;2;;;;;;;;;;
35;Compte tenu de tous ça, le temps de trajet, le temps passé avec les amis et pour tes activités extrascolaire, tu as environ combien de temps pour bosser les cours le soir ?;;timeWork;FAUX;0;Aucun ou presque pas;FAUX;;0;0;Une demi heure environ;FAUX;;1;0;Plus d'une heure;FAUX;;2;0;Plus de deux heure;FAUX;;3;;;;;
36;Bon je change de sujet, est-ce que tu as un handicap quelconque ?;;disabled;FAUX;4;Non;FAUX;D'accord c'est noté;non;37;Oui;FAUX;;oui;;;;;;;;;;;;;;;
37;Tu peux me détailler un peu ton handicap du coup ?😊;;disease;VRAI;69;;FAUX;Merci, j'ai pris ta réponse en compte !;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Aller on a bientôt fini, encore un petit effort !😊 À quelle fréquence tu vas en TD ?;;presenceTD;FAUX;59;Jamais;FAUX;Hmm..🙄;0;59;De temps en temps;FAUX;;1;60;Souvent;VRAI;Nice !😍;2;60;Toujours !;VRAI;Nice !😍;3;;;;;
59;Pourquoi est-ce que tu n'y vas pas ?;;justifAbsenceTD;FAUX;60;Ça sert à rien;FAUX;;0;60;Pas le temps;FAUX;;1;60;Pas interessant;FAUX;;2;;;;;;;;;;
60;Tu comptes y aller plus souvent ?😊;;objectifPresenceTD;FAUX;0;Non;VRAI;Dommage...!;0;62;Oui un peu plus...;VRAI;;1;62;Oui beaucoup plus !;VRAI;;2;;;;;;;;;;
61;;Tu m'as dit que tu allais/en TD... Tu y vas toujours autant ?;presenceTD;FAUX;59;Plus Jamais;FAUX;Hmm..🙄;0;59;De temps en temps;FAUX;;1;61;Souvent;VRAI;Nice !😍;2;61;Toujours !;VRAI;Nice !😍;3;;;;;
62;;Tu m'as dit que t'allais/quid ?;atteinteObjectifsTD;FAUX;0;Je m'y tiens !;FAUX;Bien joué !;0;0;Je n'ai pas reussi;FAUX;Dommage 🙄;1;;;;;;;;;;;;;;;
63;Tu prends des notes en cours ?;;notesCours;FAUX;0;Oui !;FAUX;;0;0;Pas toujours mais j'écoute !;FAUX;;1;63;Non je n'arrive pas à suivre;FAUX;;2;;;;;;;;;;
64;Est-ce que tu travailles à plusieurs ?😊;;travailGroupe;FAUX;0;Non;FAUX;;0;0;Parfois;FAUX;;1;0;Souvent;FAUX;;2;;;;;;;;;;
65;Est-ce que reprends tes TDs ?;;repriseTD;FAUX;0;Non;FAUX;;0;0;Oui ça m'aide à suivre !;FAUX;;1;;;;;;;;;;;;;;;
66;Ça n'a rien à voir, mais est-ce que tu es employé en parallèle ?;;employe;FAUX;0;Non;FAUX;;0;67;Oui;FAUX;;1;;;;;;;;;;;;;;;
67;Tu as un contrat de combien d'heures par semaine ?;;employeTime;FAUX;0;Moins de 5h;FAUX;;0;0;Entre 5 et 15h;FAUX;;1;0;Plus de 15h;FAUX;;2;;;;;;;;;;
68;Est-ce que tu es artiste ou sportif de haut niveau ?;;hautNiveau;FAUX;4;Non;FAUX;;0;4;Oui je suis un artiste;FAUX;;1;Tu peux me dire quel sport ?;Oui je suis sportif;FAUX;;2;;;;;;;;;;
69;Sinon, est-ce que tu es artiste ?;;artHautNiveau;FAUX;0;Non;FAUX;;non;0;Oui je suis un artiste;FAUX;;oui;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
